provider_num,rpt_rec_num,fy_begin,fy_end,total_revenue,medicare_revenue,medicaid_revenue,other_revenue,medicare_pct,medicaid_pct,other_pct,medicare_days,medicaid_days,other_days,total_days,data_quality
341317,695374,10/01/2020,12/31/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
340141,696323,10/01/2020,01/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050660,699530,10/01/2020,12/31/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050696,699531,10/01/2020,12/31/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
364064,700312,11/21/2020,03/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
030146,705263,10/29/2020,12/31/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
340050,705766,10/01/2020,06/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
413025,706877,01/01/2021,03/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050136,707180,01/01/2021,06/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
420026,709803,10/01/2020,07/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
454152,709810,12/31/2020,05/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
101993,709892,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
100029,710010,06/01/2021,07/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
100183,710053,01/01/2021,07/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
520213,710111,12/22/2020,06/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
014015,712128,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
421303,712272,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
013301,712450,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
341315,712743,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
341327,712744,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
371301,712751,01/01/2021,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
421300,712764,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
214020,712820,12/04/2020,06/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
014014,712990,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
141337,713018,07/01/2021,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
341303,713186,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
421304,713194,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
341304,713294,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
341318,713295,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
421301,713319,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
141339,713382,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
301301,713397,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
301302,713398,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
471305,713613,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050146,713627,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
331302,713788,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
301312,713952,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
371318,714409,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
471301,714437,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
471306,714872,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
131312,715190,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
341324,715220,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
471307,715235,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
014017,715244,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
141317,715254,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
444023,715300,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
264034,715357,06/04/2021,08/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
301303,715360,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
301310,715361,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
341320,715368,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
422008,715376,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
514011,715389,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
521352,715391,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050660,715405,01/01/2021,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
044021,715514,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
101313,715703,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
251334,715719,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
251318,715799,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
341329,715811,11/01/2020,10/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
031309,715835,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
051336,715837,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
251304,715970,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501331,716070,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
453314,716287,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
074008,716365,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
062011,716404,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
301308,716427,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
053038,716455,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
251317,716592,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
454149,716622,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
104082,716642,11/01/2020,10/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
454138,716690,05/01/2021,09/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
670132,716694,06/01/2021,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
371314,716730,10/01/2020,10/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
371316,716731,10/01/2020,10/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
201312,716801,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
503300,716828,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
341316,716862,12/01/2020,11/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
341323,716907,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
201300,716951,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
201302,716952,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
201309,716953,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
221303,716963,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
362032,716978,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
264033,717035,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
414003,717096,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
480002,717104,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
524038,717108,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
201308,717133,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
111313,717184,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
191315,717305,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
494033,717509,03/27/2021,06/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
400010,717549,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
301307,717626,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
241381,717738,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
640001,717768,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
241334,717806,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
454153,717915,04/09/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
341325,718001,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
194107,718172,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
220162,718328,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
480001,718395,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
521323,718401,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
521355,718404,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
051315,718415,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
141320,718420,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
521330,718645,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
113300,718687,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
374017,718725,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
511303,718759,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
504009,718839,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
450780,718918,01/01/2021,10/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
463301,718921,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
372023,718967,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
034023,719112,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
241329,719139,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501338,719182,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
521333,719185,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
131316,719389,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
131325,719390,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
331316,719417,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
431301,719424,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
431336,719433,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
461307,719443,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
031301,719473,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
131321,719479,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
381320,719509,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
131320,719560,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
241378,719591,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
351319,719610,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
141327,719661,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
021306,719765,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
033029,719768,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
341317,719850,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
381303,719867,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
431313,719872,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
521308,719904,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
051316,719936,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
271323,719978,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
271325,719979,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
444030,720017,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501302,720056,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501319,720058,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
514001,720064,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
051301,720206,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
051310,720207,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
051325,720208,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
101308,720232,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
313025,720311,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
341307,720324,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
650003,720360,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
101300,720422,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
103046,720428,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
331318,720479,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
363304,720487,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
013300,720559,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
021301,720561,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
031302,720572,07/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
031314,720573,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
033302,720574,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
051329,720635,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
052055,720636,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
121305,720649,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
131327,720655,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
141316,720658,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
271321,720679,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
271343,720680,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
271347,720681,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
363308,720706,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
461308,720731,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
461309,720732,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501308,720737,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501316,720739,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501323,720741,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501326,720742,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
504015,720747,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
051990,720933,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
271307,721023,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
381313,721053,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
381317,721054,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
431319,721062,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501310,721087,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501314,721089,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501320,721091,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501325,721093,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501327,721094,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501336,721097,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
344029,721148,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
400134,721156,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
443037,721164,07/23/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
263304,721234,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
374012,721381,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
014018,721446,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
444005,721495,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
444019,721496,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
444021,721497,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
444024,721498,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
494032,721503,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
374021,721563,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
014006,721575,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
053308,721591,04/01/2021,08/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
423300,721622,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
461302,721635,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
184014,721690,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
194083,721694,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
254007,721701,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
364065,721721,07/13/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
394057,721725,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
381318,721816,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
394050,721920,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
464014,721928,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501313,721933,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
110113,722102,06/01/2021,06/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
393309,722151,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
024001,722164,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
184017,722179,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
193301,722183,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
054032,722221,02/01/2021,01/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
184008,722239,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
224044,722300,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
453311,722332,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
464012,722334,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
670314,722408,08/12/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
290042,722438,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
670136,722480,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
361991,722504,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
154041,722527,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
244018,722574,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
320058,722577,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
453309,722596,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
454128,722597,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
